Panel,Task,Method,Task_Progress_Results,Task_Progress_Bins,Avg_Task_Progress,Num_Rollouts,Num_Milestones,CLD_Letter
Fig6_HW_Unseen_Nominal_Progress,SetBreakfastTable,Single Task,"[0.33333333,0.33333333,0.75,0.66666667,0.66666667,0.83333333,0.25,0.58333333,0.5,0.58333333,0.75,0.33333333,0.16666667,0.33333333,0.33333333,0.41666667,0.41666667,0.33333333,0.66666667,0.33333333,0.41666667,0.58333333,0.33333333,0.58333333,0.41666667,0.5,0.25,0.5,0.5,0.41666667,0.5,0.5,0.66666667,0.66666667,0.33333333,0.08333333,0.5,0.66666667,0.25,0.25,0.25,0.33333333,0.66666667,0.5,0.66666667,0.66666667,0.66666667,0.41666667,0.25,0.33333333]","[0.,0.08333333,0.16666667,0.25,0.33333333,0.41666667,0.5,0.58333333,0.66666667,0.75,0.83333333,0.91666667,1.]",0.465,50,12,c
Fig6_HW_Unseen_Nominal_Progress,SetBreakfastTable,LBM Finetuned 15%,"[0.58333333,0.91666667,0.91666667,0.41666667,0.91666667,0.5,0.33333333,0.41666667,0.66666667,0.16666667,0.5,0.83333333,0.83333333,0.66666667,0.83333333,0.41666667,0.75,0.83333333,0.5,0.,0.91666667,0.5,0.25,0.5,0.75,0.58333333,0.91666667,0.83333333,0.66666667,0.91666667,0.5,0.66666667,0.83333333,0.66666667,0.58333333,0.41666667,0.66666667,0.75,0.83333333,0.5,0.75,0.66666667,0.83333333,0.83333333,0.5,0.91666667,0.58333333,0.41666667,0.41666667,0.75]","[0.,0.08333333,0.16666667,0.25,0.33333333,0.41666667,0.5,0.58333333,0.66666667,0.75,0.83333333,0.91666667,1.]",0.6383333338,50,12,b
Fig6_HW_Unseen_Nominal_Progress,SetBreakfastTable,LBM Finetuned 50%,"[0.91666667,0.91666667,0.91666667,0.91666667,1.,0.91666667,0.66666667,0.75,0.83333333,1.,0.83333333,0.91666667,0.91666667,1.,1.,0.83333333,1.,1.,1.,0.83333333,0.41666667,0.83333333,0.83333333,0.75,1.,0.91666667,0.33333333,1.,0.83333333,0.58333333,1.,0.41666667,0.5,0.41666667,0.83333333,0.58333333,0.91666667,0.5,1.,0.91666667,0.83333333,0.91666667,1.,1.,1.,0.91666667,0.75,0.83333333,0.25,0.91666667]","[0.,0.08333333,0.16666667,0.25,0.33333333,0.41666667,0.5,0.58333333,0.66666667,0.75,0.83333333,0.91666667,1.]",0.8233333336,50,12,a
Fig6_HW_Unseen_Nominal_Progress,SetBreakfastTable,LBM Finetuned,"[1.,1.,0.91666667,0.91666667,1.,0.91666667,1.,0.75,0.91666667,0.83333333,0.91666667,1.,0.83333333,0.83333333,0.91666667,0.83333333,1.,0.91666667,1.,0.,0.91666667,1.,0.91666667,0.5,0.83333333,0.75,1.,1.,1.,0.66666667,0.83333333,0.83333333,0.41666667,0.83333333,0.66666667,0.,0.91666667,1.,1.,1.,0.83333333,0.91666667,1.,1.,1.,1.,1.,0.66666667,0.75,0.75]","[0.,0.08333333,0.16666667,0.25,0.33333333,0.41666667,0.5,0.58333333,0.66666667,0.75,0.83333333,0.91666667,1.]",0.8500000004,50,12,a
