Panel,Task,Method,Task_Progress_Results,Task_Progress_Bins,Avg_Task_Progress,Num_Rollouts,Num_Milestones,CLD_Letter
FigS28A_HW_Unseen_Nominal_MeanProgress,BikeRotorInstall,Single Task,"[0.53846154,0.38461538,0.38461538,0.53846154,0.38461538,0.92307692,0.53846154,0.53846154,0.53846154,0.46153846,0.53846154,0.53846154,1.,0.38461538,0.,0.53846154,0.53846154,0.15384615,1.,0.53846154,1.,0.15384615,1.,0.53846154,1.,0.53846154,0.07692308,0.53846154,1.,0.07692308,0.38461538,0.30769231,1.,0.53846154,1.,1.,0.92307692,1.,0.53846154,1.,0.38461538,1.,1.,0.38461538,0.53846154,1.,0.23076923,0.,0.53846154,0.92307692]","[0.,0.07692308,0.15384615,0.23076923,0.30769231,0.38461538,0.46153846,0.53846154,0.61538462,0.69230769,0.76923077,0.84615385,0.92307692,1.]",0.6015384612,50,13,a
FigS28A_HW_Unseen_Nominal_MeanProgress,BikeRotorInstall,LBM Finetuned,"[1.,0.30769231,0.53846154,1.,1.,0.46153846,1.,0.15384615,0.38461538,0.38461538,0.53846154,0.53846154,0.92307692,0.38461538,0.07692308,0.38461538,0.53846154,0.46153846,0.84615385,0.53846154,0.53846154,0.76923077,0.53846154,0.53846154,0.07692308,0.53846154,0.46153846,0.53846154,0.53846154,0.38461538,1.,1.,0.92307692,0.38461538,0.53846154,1.,0.46153846,0.38461538,1.,0.46153846,0.30769231,0.38461538,0.92307692,0.38461538,0.15384615,0.46153846,0.53846154,1.,0.53846154,0.38461538]","[0.,0.07692308,0.15384615,0.23076923,0.30769231,0.38461538,0.46153846,0.53846154,0.61538462,0.69230769,0.76923077,0.84615385,0.92307692,1.]",0.5723076916,50,13,a
FigS28A_HW_Unseen_Nominal_MeanProgress,CleanLitterBox,Single Task,"[0.85714286,0.,0.14285714,0.,0.14285714,1.,0.14285714,0.71428571,0.14285714,0.71428571,0.28571429,0.,0.71428571,0.28571429,1.,0.57142857,0.,0.57142857,0.14285714,0.57142857,0.14285714,0.57142857,0.,0.42857143,0.57142857,0.14285714,1.,0.85714286,0.85714286,0.28571429,0.71428571,0.14285714,0.14285714,0.71428571,0.,0.28571429,0.14285714,0.42857143,0.,0.,0.71428571,0.85714286,0.14285714,0.42857143,0.,0.71428571,0.85714286,0.14285714,0.,1.]","[0.,0.14285714,0.28571429,0.42857143,0.57142857,0.71428571,0.85714286,1.]",0.405714285,50,7,b
FigS28A_HW_Unseen_Nominal_MeanProgress,CleanLitterBox,LBM Finetuned,"[0.85714286,0.28571429,0.14285714,0.42857143,0.,1.,0.57142857,0.85714286,0.28571429,0.85714286,0.57142857,0.28571429,0.85714286,0.42857143,1.,0.71428571,0.57142857,0.85714286,0.57142857,0.57142857,0.28571429,0.85714286,0.42857143,0.71428571,0.85714286,0.85714286,0.85714286,0.57142857,0.,0.42857143,0.71428571,0.85714286,0.57142857,0.85714286,0.71428571,0.85714286,0.57142857,0.14285714,0.57142857,0.,0.85714286,0.85714286,0.85714286,0.57142857,0.57142857,0.57142857,0.85714286,0.85714286,0.42857143,1.]","[0.,0.14285714,0.28571429,0.42857143,0.57142857,0.71428571,0.85714286,1.]",0.6171428578,50,7,a
FigS28A_HW_Unseen_Nominal_MeanProgress,ClearKitchenCounter,Single Task,"[0.,0.57142857,1.,0.57142857,0.57142857,0.,0.57142857,0.85714286,0.28571429,0.28571429,0.14285714,0.14285714,0.85714286,0.85714286,0.,0.14285714,0.57142857,0.28571429,0.85714286,0.,0.,0.,0.85714286,1.,0.,1.,0.,0.85714286,0.28571429,0.14285714,1.,1.,0.14285714,0.14285714,0.14285714,0.28571429,0.85714286,0.57142857,0.14285714,0.,0.57142857,0.14285714,0.57142857,0.,0.85714286,0.57142857,0.14285714,1.,0.,1.]","[0.,0.14285714,0.28571429,0.42857143,0.57142857,0.71428571,0.85714286,1.]",0.4371428572,50,7,b
FigS28A_HW_Unseen_Nominal_MeanProgress,ClearKitchenCounter,LBM Finetuned,"[0.57142857,0.28571429,0.85714286,1.,1.,0.85714286,0.28571429,0.85714286,0.85714286,1.,1.,0.85714286,1.,1.,0.85714286,0.85714286,0.57142857,0.14285714,0.,1.,0.57142857,0.28571429,1.,1.,1.,0.57142857,1.,1.,0.57142857,1.,1.,0.57142857,0.85714286,0.85714286,1.,1.,0.57142857,1.,0.85714286,0.85714286,0.85714286,1.,1.,0.71428571,0.85714286,1.,0.71428571,0.85714286,1.,1.]","[0.,0.14285714,0.28571429,0.42857143,0.57142857,0.71428571,0.85714286,1.]",0.8085714292,50,7,a
FigS28A_HW_Unseen_Nominal_MeanProgress,CutAppleIntoSlices,Single Task,"[0.78571429,0.57142857,1.,0.85714286,0.57142857,0.85714286,1.,0.78571429,0.42857143,0.42857143,0.71428571,0.85714286,0.71428571,0.92857143,0.85714286,0.,0.64285714,0.57142857,0.42857143,0.,0.85714286,0.35714286,0.35714286,0.42857143,0.85714286,0.07142857,0.35714286,0.,0.35714286,1.,0.85714286,0.78571429,0.57142857,0.5,0.85714286,0.85714286,0.5,0.85714286,0.42857143,1.,0.35714286,0.85714286,0.,0.85714286,0.5,0.5,0.57142857,0.85714286,0.5,0.78571429]","[0.,0.07142857,0.14285714,0.21428571,0.28571429,0.35714286,0.42857143,0.5,0.57142857,0.64285714,0.71428571,0.78571429,0.85714286,0.92857143,1.]",0.612857144,50,14,b
FigS28A_HW_Unseen_Nominal_MeanProgress,CutAppleIntoSlices,LBM Finetuned,"[0.57142857,1.,0.85714286,0.85714286,0.85714286,0.92857143,0.85714286,0.85714286,0.35714286,0.35714286,1.,0.92857143,0.92857143,0.78571429,0.57142857,1.,0.92857143,0.85714286,0.92857143,0.78571429,0.85714286,0.35714286,0.42857143,0.78571429,0.57142857,0.85714286,1.,0.85714286,1.,1.,0.57142857,1.,0.42857143,0.57142857,0.78571429,0.5,0.85714286,0.92857143,0.92857143,0.5,0.35714286,0.92857143,0.92857143,0.78571429,1.,0.92857143,1.,0.85714286,0.78571429,0.42857143]","[0.,0.07142857,0.14285714,0.21428571,0.28571429,0.35714286,0.42857143,0.5,0.57142857,0.64285714,0.71428571,0.78571429,0.85714286,0.92857143,1.]",0.7800000016,50,14,a
FigS28A_HW_Unseen_Nominal_MeanProgress,SetUpBreakfastTable,Single Task,"[0.33333333,0.33333333,0.75,0.66666667,0.66666667,0.83333333,0.25,0.58333333,0.5,0.58333333,0.75,0.33333333,0.16666667,0.33333333,0.33333333,0.41666667,0.41666667,0.33333333,0.66666667,0.33333333,0.41666667,0.58333333,0.33333333,0.58333333,0.41666667,0.5,0.25,0.5,0.5,0.41666667,0.5,0.5,0.66666667,0.66666667,0.33333333,0.08333333,0.5,0.66666667,0.25,0.25,0.25,0.33333333,0.66666667,0.5,0.66666667,0.66666667,0.66666667,0.41666667,0.25,0.33333333]","[0.,0.08333333,0.16666667,0.25,0.33333333,0.41666667,0.5,0.58333333,0.66666667,0.75,0.83333333,0.91666667,1.]",0.465,50,12,b
FigS28A_HW_Unseen_Nominal_MeanProgress,SetUpBreakfastTable,LBM Finetuned,"[1.,1.,0.91666667,0.91666667,1.,0.91666667,1.,0.75,0.91666667,0.83333333,0.91666667,1.,0.83333333,0.83333333,0.91666667,0.83333333,1.,0.91666667,1.,0.,0.91666667,1.,0.91666667,0.5,0.83333333,0.75,1.,1.,1.,0.66666667,0.83333333,0.83333333,0.41666667,0.83333333,0.66666667,0.,0.91666667,1.,1.,1.,0.83333333,0.91666667,1.,1.,1.,1.,1.,0.66666667,0.75,0.75]","[0.,0.08333333,0.16666667,0.25,0.33333333,0.41666667,0.5,0.58333333,0.66666667,0.75,0.83333333,0.91666667,1.]",0.8500000004,50,12,a
FigS28A_HW_Unseen_Nominal_MeanProgress,Aggregate - Hardware,Single Task,"[0.53846154,0.38461538,0.38461538,0.53846154,0.38461538,0.92307692,0.53846154,0.53846154,0.53846154,0.46153846,0.53846154,0.53846154,1.,0.38461538,0.,0.53846154,0.53846154,0.15384615,1.,0.53846154,1.,0.15384615,1.,0.53846154,1.,0.53846154,0.07692308,0.53846154,1.,0.07692308,0.38461538,0.30769231,1.,0.53846154,1.,1.,0.92307692,1.,0.53846154,1.,0.38461538,1.,1.,0.38461538,0.53846154,1.,0.23076923,0.,0.53846154,0.92307692,0.85714286,0.,0.14285714,0.,0.14285714,1.,0.14285714,0.71428571,0.14285714,0.71428571,0.28571429,0.,0.71428571,0.28571429,1.,0.57142857,0.,0.57142857,0.14285714,0.57142857,0.14285714,0.57142857,0.,0.42857143,0.57142857,0.14285714,1.,0.85714286,0.85714286,0.28571429,0.71428571,0.14285714,0.14285714,0.71428571,0.,0.28571429,0.14285714,0.42857143,0.,0.,0.71428571,0.85714286,0.14285714,0.42857143,0.,0.71428571,0.85714286,0.14285714,0.,1.,0.,0.57142857,1.,0.57142857,0.57142857,0.,0.57142857,0.85714286,0.28571429,0.28571429,0.14285714,0.14285714,0.85714286,0.85714286,0.,0.14285714,0.57142857,0.28571429,0.85714286,0.,0.,0.,0.85714286,1.,0.,1.,0.,0.85714286,0.28571429,0.14285714,1.,1.,0.14285714,0.14285714,0.14285714,0.28571429,0.85714286,0.57142857,0.14285714,0.,0.57142857,0.14285714,0.57142857,0.,0.85714286,0.57142857,0.14285714,1.,0.,1.,0.78571429,0.57142857,1.,0.85714286,0.57142857,0.85714286,1.,0.78571429,0.42857143,0.42857143,0.71428571,0.85714286,0.71428571,0.92857143,0.85714286,0.,0.64285714,0.57142857,0.42857143,0.,0.85714286,0.35714286,0.35714286,0.42857143,0.85714286,0.07142857,0.35714286,0.,0.35714286,1.,0.85714286,0.78571429,0.57142857,0.5,0.85714286,0.85714286,0.5,0.85714286,0.42857143,1.,0.35714286,0.85714286,0.,0.85714286,0.5,0.5,0.57142857,0.85714286,0.5,0.78571429,0.33333333,0.33333333,0.75,0.66666667,0.66666667,0.83333333,0.25,0.58333333,0.5,0.58333333,0.75,0.33333333,0.16666667,0.33333333,0.33333333,0.41666667,0.41666667,0.33333333,0.66666667,0.33333333,0.41666667,0.58333333,0.33333333,0.58333333,0.41666667,0.5,0.25,0.5,0.5,0.41666667,0.5,0.5,0.66666667,0.66666667,0.33333333,0.08333333,0.5,0.66666667,0.25,0.25,0.25,0.33333333,0.66666667,0.5,0.66666667,0.66666667,0.66666667,0.41666667,0.25,0.33333333]","[0.,0.07142857,0.07692308,0.08333333,0.14285714,0.15384615,0.16666667,0.21428571,0.23076923,0.25,0.28571429,0.30769231,0.33333333,0.35714286,0.38461538,0.41666667,0.42857143,0.46153846,0.5,0.53846154,0.57142857,0.58333333,0.61538462,0.64285714,0.66666667,0.69230769,0.71428571,0.75,0.76923077,0.78571429,0.83333333,0.84615385,0.85714286,0.91666667,0.92307692,0.92857143,1.]",0.5044505495,250,36,b
FigS28A_HW_Unseen_Nominal_MeanProgress,Aggregate - Hardware,LBM Finetuned,"[1.,0.30769231,0.53846154,1.,1.,0.46153846,1.,0.15384615,0.38461538,0.38461538,0.53846154,0.53846154,0.92307692,0.38461538,0.07692308,0.38461538,0.53846154,0.46153846,0.84615385,0.53846154,0.53846154,0.76923077,0.53846154,0.53846154,0.07692308,0.53846154,0.46153846,0.53846154,0.53846154,0.38461538,1.,1.,0.92307692,0.38461538,0.53846154,1.,0.46153846,0.38461538,1.,0.46153846,0.30769231,0.38461538,0.92307692,0.38461538,0.15384615,0.46153846,0.53846154,1.,0.53846154,0.38461538,0.85714286,0.28571429,0.14285714,0.42857143,0.,1.,0.57142857,0.85714286,0.28571429,0.85714286,0.57142857,0.28571429,0.85714286,0.42857143,1.,0.71428571,0.57142857,0.85714286,0.57142857,0.57142857,0.28571429,0.85714286,0.42857143,0.71428571,0.85714286,0.85714286,0.85714286,0.57142857,0.,0.42857143,0.71428571,0.85714286,0.57142857,0.85714286,0.71428571,0.85714286,0.57142857,0.14285714,0.57142857,0.,0.85714286,0.85714286,0.85714286,0.57142857,0.57142857,0.57142857,0.85714286,0.85714286,0.42857143,1.,0.57142857,0.28571429,0.85714286,1.,1.,0.85714286,0.28571429,0.85714286,0.85714286,1.,1.,0.85714286,1.,1.,0.85714286,0.85714286,0.57142857,0.14285714,0.,1.,0.57142857,0.28571429,1.,1.,1.,0.57142857,1.,1.,0.57142857,1.,1.,0.57142857,0.85714286,0.85714286,1.,1.,0.57142857,1.,0.85714286,0.85714286,0.85714286,1.,1.,0.71428571,0.85714286,1.,0.71428571,0.85714286,1.,1.,0.57142857,1.,0.85714286,0.85714286,0.85714286,0.92857143,0.85714286,0.85714286,0.35714286,0.35714286,1.,0.92857143,0.92857143,0.78571429,0.57142857,1.,0.92857143,0.85714286,0.92857143,0.78571429,0.85714286,0.35714286,0.42857143,0.78571429,0.57142857,0.85714286,1.,0.85714286,1.,1.,0.57142857,1.,0.42857143,0.57142857,0.78571429,0.5,0.85714286,0.92857143,0.92857143,0.5,0.35714286,0.92857143,0.92857143,0.78571429,1.,0.92857143,1.,0.85714286,0.78571429,0.42857143,1.,1.,0.91666667,0.91666667,1.,0.91666667,1.,0.75,0.91666667,0.83333333,0.91666667,1.,0.83333333,0.83333333,0.91666667,0.83333333,1.,0.91666667,1.,0.,0.91666667,1.,0.91666667,0.5,0.83333333,0.75,1.,1.,1.,0.66666667,0.83333333,0.83333333,0.41666667,0.83333333,0.66666667,0.,0.91666667,1.,1.,1.,0.83333333,0.91666667,1.,1.,1.,1.,1.,0.66666667,0.75,0.75]","[0.,0.07142857,0.07692308,0.08333333,0.14285714,0.15384615,0.16666667,0.21428571,0.23076923,0.25,0.28571429,0.30769231,0.33333333,0.35714286,0.38461538,0.41666667,0.42857143,0.46153846,0.5,0.53846154,0.57142857,0.58333333,0.61538462,0.64285714,0.66666667,0.69230769,0.71428571,0.75,0.76923077,0.78571429,0.83333333,0.84615385,0.85714286,0.91666667,0.92307692,0.92857143,1.]",0.7256043961,250,36,a
FigS28B_Sim_Unseen_Nominal_MeanProgress,DumpVegetablesFromSmallToLargeContainer,Single Task,"[0.125,0.125,0.,0.75,0.75,0.5,0.625,0.625,0.,0.75,0.,0.625,1.,0.5,0.75,0.125,0.25,0.,0.125,0.5,0.125,0.,0.125,0.75,0.375,0.125,0.125,0.125,0.5,0.5,0.75,0.25,0.375,1.,0.375,0.25,0.75,0.,0.,0.25,0.5,0.125,0.375,0.375,0.125,0.125,0.625,0.625,0.125,0.,0.25,0.5,0.125,0.25,0.25,0.75,0.25,0.125,0.375,0.125,0.375,0.,0.25,0.,0.125,0.,0.625,0.125,0.25,0.375,0.625,0.125,0.,0.375,0.125,1.,0.125,0.,0.5,1.,0.125,0.125,0.,0.25,0.75,0.25,0.,0.625,0.375,1.,1.,0.,0.125,0.375,0.25,0.75,0.125,0.625,0.75,0.125,0.125,0.75,0.25,0.125,0.625,0.125,0.625,0.125,0.,0.25,0.,0.125,0.125,0.125,0.,0.125,0.,0.125,0.375,0.,0.125,0.25,0.125,0.75,0.25,0.5,0.25,0.625,0.25,0.25,0.75,0.,1.,0.5,0.25,0.25,0.625,0.125,0.375,0.25,0.25,0.625,0.375,0.125,0.125,0.375,0.25,0.125,0.375,0.125,0.25,0.25,0.375,0.625,0.125,0.,1.,0.25,0.25,1.,1.,0.625,0.,0.125,0.125,0.25,0.125,0.,0.,0.125,1.,0.25,0.,0.5,0.25,0.5,1.,0.25,0.125,0.125,0.25,0.125,0.75,1.,0.75,0.25,0.75,1.,0.125,0.375,0.375,0.25,0.625,0.5,0.125,0.375,0.75,0.25,0.125,0.625]","[0.,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.]",0.343125,200,8,b
FigS28B_Sim_Unseen_Nominal_MeanProgress,DumpVegetablesFromSmallToLargeContainer,LBM Finetuned,"[0.25,0.,0.75,1.,0.75,0.75,0.625,0.75,1.,0.75,0.,0.5,0.75,0.75,0.625,0.75,0.625,0.25,0.375,0.75,0.25,0.625,0.,0.625,0.,0.25,0.5,0.25,0.375,0.5,0.75,0.5,0.75,0.75,0.75,1.,0.75,0.625,0.5,0.25,0.75,0.5,1.,0.,0.625,0.5,0.375,0.875,0.375,0.75,0.,0.,0.5,0.5,0.125,0.75,0.625,0.25,0.75,1.,0.75,0.625,0.375,0.125,0.25,0.25,0.75,0.625,0.75,0.625,0.625,1.,0.25,0.,0.375,1.,0.125,0.75,0.375,1.,0.,0.5,0.25,0.75,0.75,0.375,0.25,0.25,0.75,0.25,0.25,0.125,0.375,1.,0.375,1.,0.625,1.,0.25,0.25,0.25,1.,0.625,0.375,0.125,0.25,0.125,0.75,0.125,0.25,0.375,0.75,0.5,0.625,0.25,0.25,0.375,0.375,0.25,0.625,0.75,0.5,0.25,0.75,0.,0.5,1.,0.75,0.25,0.25,1.,1.,0.875,0.375,0.625,0.625,0.625,0.,0.625,0.375,0.375,1.,0.75,0.75,0.,0.75,0.25,0.5,0.25,0.625,0.125,0.5,1.,1.,0.5,0.5,0.25,0.875,0.5,0.25,0.25,0.75,0.375,1.,0.625,0.75,0.,0.25,0.5,0.25,0.875,0.,0.75,0.25,0.25,0.625,0.375,0.375,0.625,0.25,0.375,0.5,0.75,0.25,0.25,0.25,0.125,0.75,0.25,0.,0.25,0.625,0.75,0.,0.,0.,0.125,0.375,1.,0.75]","[0.,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.]",0.494375,200,8,a
FigS28B_Sim_Unseen_Nominal_MeanProgress,PutContainersOnPlate,Single Task,"[0.6,0.2,0.4,0.4,0.2,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.2,1.,0.2,0.4,0.4,0.,0.6,0.4,0.4,0.6,0.2,0.6,1.,0.2,0.2,0.2,1.,0.2,0.4,0.6,0.6,0.6,1.,0.4,0.2,1.,0.4,0.2,1.,0.4,0.2,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.,0.6,0.6,0.6,0.4,0.6,0.2,0.6,0.2,0.2,0.6,0.6,1.,0.,0.4,1.,0.2,0.6,0.4,1.,0.4,0.2,0.6,0.4,0.4,0.4,0.6,0.6,0.4,0.6,0.4,0.,0.4,0.4,0.4,1.,1.,0.2,0.4,0.6,1.,0.2,0.,0.4,0.2,0.6,0.6,0.2,1.,0.6,1.,0.6,0.4,0.6,0.2,1.,0.2,0.6,0.6,0.2,0.6,1.,0.,0.4,0.6,1.,0.6,0.6,0.6,1.,0.,1.,0.2,0.6,0.6,0.2,0.6,0.2,0.6,0.4,0.2,0.4,0.2,0.2,1.,0.6,0.,1.,0.6,0.6,0.,0.2,0.2,0.2,0.6,0.6,0.4,0.2,0.6,0.6,0.6,0.6,1.,0.4,0.,0.4,0.2,0.6,0.4,0.2,0.4,0.2,0.2,0.6,0.4,0.4,1.,0.4,0.6,0.6,0.6,0.2,0.4,0.6,0.6,0.4,0.6,0.2,0.4,0.2,0.2,0.6,0.4,0.2,0.2,0.6,0.2,0.6,1.,0.,0.2,0.6,1.]","[0.,0.2,0.4,0.6,0.8,1.]",0.4673366834,199,5,b
FigS28B_Sim_Unseen_Nominal_MeanProgress,PutContainersOnPlate,LBM Finetuned,"[0.4,1.,0.6,0.4,1.,1.,0.2,0.4,0.4,0.4,0.6,0.4,0.6,0.6,0.4,0.6,0.6,0.6,1.,0.6,0.6,0.6,0.4,0.4,0.6,0.6,1.,0.4,0.6,0.4,0.4,1.,1.,0.4,1.,1.,0.4,0.2,0.2,1.,0.4,0.2,0.4,0.4,0.6,1.,0.6,0.,0.6,0.2,0.2,0.4,0.6,0.6,0.4,0.,1.,0.2,0.6,0.4,1.,0.6,0.6,0.6,0.2,0.2,0.4,0.4,1.,0.6,0.4,0.4,0.6,0.6,1.,1.,0.4,0.4,0.6,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.6,0.6,1.,1.,0.4,0.4,0.6,0.2,0.4,0.4,1.,0.6,0.4,0.2,1.,0.4,1.,0.4,0.6,1.,0.6,0.2,0.2,0.6,0.6,0.4,1.,0.4,0.4,0.6,0.6,1.,0.6,1.,0.4,0.6,1.,0.4,0.6,0.4,1.,1.,0.6,0.4,1.,0.,1.,0.6,0.2,0.6,0.6,0.2,0.6,0.6,0.2,0.6,1.,1.,0.6,0.4,1.,1.,1.,0.2,0.6,0.4,0.6,0.6,0.4,0.2,0.4,0.6,1.,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.2,1.,1.,1.,0.6,1.,0.4,0.4,0.6,0.4,0.4,0.6,0.6,0.4,0.4,0.6,0.6,0.4,0.6,0.6,0.6,0.2,0.4,0.4,0.4,0.6,0.6,0.6,1.,0.6,0.2,0.4,0.4,0.4]","[0.,0.2,0.4,0.6,0.8,1.]",0.567,200,5,a
FigS28B_Sim_Unseen_Nominal_MeanProgress,PutFruitInLargeContainerAndCoverWithPlate,Single Task,"[0.25,0.,0.,0.25,0.5,0.,0.,0.5,0.,0.,0.25,0.,1.,1.,0.5,0.25,0.25,0.,0.5,0.,0.25,0.5,0.75,0.,1.,0.,0.,0.5,0.,0.,0.,0.25,0.5,0.,0.,0.,0.,0.5,0.,0.5,0.25,0.25,0.,0.,0.25,0.5,0.75,0.5,1.,0.5,0.25,0.25,0.25,0.5,0.25,0.,0.5,0.25,0.25,0.25,0.,0.25,0.5,0.,0.5,0.25,0.25,0.5,0.,0.25,0.,1.,0.,0.25,0.25,0.5,0.25,0.25,0.,0.,0.25,0.25,0.,0.25,0.5,0.25,0.5,0.25,0.5,1.,0.5,0.5,0.5,0.25,0.75,0.75,0.25,0.,0.25,0.25,0.25,0.25,1.,0.,0.,1.,0.75,0.,0.25,0.5,0.,0.25,0.25,1.,0.,0.,0.25,0.25,0.,0.,0.25,0.25,0.25,0.25,0.25,0.,0.25,0.25,0.,0.,0.5,0.25,0.,0.25,0.5,0.,0.5,0.,0.,1.,0.25,0.5,0.,0.5,0.5,0.25,0.,0.5,1.,0.25,0.,0.25,0.,0.25,1.,0.25,0.,0.,0.75,0.5,0.25,0.25,0.,0.25,0.25,0.,1.,0.,0.25,0.25,0.25,0.,0.,1.,0.75,1.,0.25,0.25,1.,0.25,0.,0.,0.25,0.5,0.,1.,0.25,0.5,0.5,1.,0.,0.5,0.25,0.,0.25,0.25,0.75,0.5,0.75,0.25]","[0.,0.25,0.5,0.75,1.]",0.30875,200,4,b
FigS28B_Sim_Unseen_Nominal_MeanProgress,PutFruitInLargeContainerAndCoverWithPlate,LBM Finetuned,"[1.,0.5,0.5,0.75,1.,1.,0.5,0.5,0.5,0.5,0.75,1.,0.75,0.75,0.5,0.5,0.75,0.25,1.,1.,0.25,0.75,1.,0.75,1.,1.,0.25,0.75,0.5,0.25,1.,1.,0.5,1.,0.5,0.25,0.5,0.25,0.5,1.,0.75,0.25,0.75,0.75,1.,1.,1.,1.,1.,0.5,0.25,1.,0.75,1.,0.5,1.,0.75,0.5,1.,0.25,1.,1.,1.,0.25,0.5,0.25,1.,0.5,1.,0.,0.25,0.25,1.,0.75,1.,1.,0.5,1.,0.5,0.5,0.5,1.,0.25,0.75,0.75,0.25,0.5,0.5,0.5,1.,0.75,0.5,0.5,0.25,0.75,0.5,0.25,0.5,1.,1.,0.25,0.25,0.,0.25,0.5,1.,1.,0.5,0.25,1.,0.25,0.5,1.,1.,0.25,0.5,0.5,0.25,0.5,1.,0.75,0.75,1.,0.5,0.75,1.,0.25,0.5,0.5,0.25,0.5,1.,0.5,0.5,0.25,0.5,1.,0.25,0.75,0.5,0.75,0.5,1.,1.,0.75,0.5,1.,0.5,0.75,0.5,0.75,1.,1.,1.,1.,0.5,0.5,0.5,1.,1.,1.,0.25,1.,0.75,0.25,0.5,0.5,0.5,0.,0.75,1.,0.5,0.5,0.5,0.75,0.25,1.,1.,1.,0.5,1.,0.25,1.,0.25,1.,0.,0.5,1.,0.25,0.25,0.5,0.5,0.75,0.25,0.5,0.5,0.75,0.75,0.75,0.75]","[0.,0.25,0.5,0.75,1.]",0.6475,200,4,a
